,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
SPY,0.20840007121555348,0.3572603506933172,1.7143005211538231,1.0,0.0,0.4713651287884254,0.16840007121555348
MMM,-0.017955233953062106,0.4499296129894674,-25.058409941394046,0.8748413756369917,-0.0007823134333520474,-0.12880955660595475,-0.06624656259640624
ABT,0.2490950737261567,0.433520579435416,1.7403819872889497,0.8783223893573927,0.0002580180673197695,0.48231868023074265,0.2380618737035008
ABBV,0.14148208100379092,0.44652656671521535,3.1560644538671365,0.7591798695045091,-6.535569479048167e-05,0.22726997354339706,0.13367330336356892
ABMD,0.00311699523810721,0.7027265768445876,225.45000013260113,0.707823671144804,-0.0005640371415489236,-0.05248556974678033,-0.05210761700331352
ACN,0.3175575624309925,0.4455293035137876,1.4029875405993655,1.0546410327686977,0.0003819152191216832,0.6229838536813618,0.2631772838406772
ATVI,0.32213688161238635,0.5254561239232742,1.6311579142792265,0.721208687628612,0.0006712380458957334,0.5369370890681318,0.39120005963887305
ADBE,0.3824665304151787,0.5315466687019952,1.3897861026557947,1.1386432525557288,0.0005670827948963086,0.6442830904226364,0.3007671890616304
AMD,0.7655575385464194,0.7870655763942286,1.0280946065643177,1.3302103850212312,0.001907584373345023,0.9218514445396087,0.545445702962873
AAP,-0.0065697389183780545,0.5405942488902047,-82.28549956193196,0.9831519280412202,-0.0008260104325698325,-0.08614545754784088,-0.04736779493598831
AES,0.26699945421148746,0.6227533701053687,2.3324143936717276,1.1655982389664956,9.409647735213341e-05,0.36450939506450136,0.19474931123159703
AFL,0.0018373972265205085,0.5970247557389359,324.92960537963023,1.2314348638680825,-0.0009952879535191535,-0.06392130712611029,-0.030990354336409027
A,0.30098956333003646,0.4379760288566834,1.4551203171667473,0.9380433323641313,0.0004121143205549863,0.5958991956964812,0.278227619477098
APD,0.285673612414899,0.47867301585500405,1.6755940872823833,1.03474277551724,0.0002735669699504942,0.5132389006221244,0.23742481535287202
AKAM,0.2761142757869332,0.43667680426342864,1.5815075226331121,0.6786731863558666,0.0005260888102276719,0.5407071625551593,0.34790570857049474
ALK,-0.0878575932675886,0.8372102254345194,-9.529173225638235,1.4736346908197848,-0.0015428248741411789,-0.1527186235705965,-0.08676342519899642
ALB,0.37062765712067836,0.7149617189933285,1.9290565753988864,1.2550584878333013,0.00042606788623645924,0.4624410626994192,0.26343605523234614
ARE,0.23276763662688224,0.4537708998603667,1.9494587238849892,0.9789267336869723,0.00011234076410823485,0.4248126900297049,0.1969173279197857
ALXN,0.19044937741007334,0.5940140969491189,3.1190130680768506,0.8237499952866324,7.3358670814559e-05,0.2532757693509087,0.18263960943359145
