,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
SPY,0.21112598976322502,0.3610731557769629,1.7102259943548477,1.0,0.0,0.4739371704190898,0.17112598976322502
MMM,0.09891881982540199,0.43397331456498034,4.387166318107827,0.8225747175145943,-0.00029198469360965546,0.13576599723525135,0.07162731672987097
ABT,0.1714871616915577,0.44868111920959747,2.6164123003948814,0.8540832919474501,-3.4500072894848494e-05,0.29305258470244344,0.15395121638750872
ABBV,0.31233412083917755,0.4078457101581619,1.3057994082182387,0.7396516633997269,0.0006100563723589634,0.6677381030526638,0.36819239963231337
ABMD,0.10849918720456438,0.6992333928716103,6.444595677507479,0.6966805173661883,-0.00015073506473877954,0.0979632664899656,0.09832223737722226
ACN,0.2546580046161405,0.4532037828061185,1.7796565377524909,1.0648798291632995,0.00011653983087947279,0.4736456595464289,0.20157955737109062
ATVI,0.35129392473642085,0.4823462734110303,1.3730561203782254,0.7090971769281341,0.0007874417242935929,0.6453743750004106,0.43900037239602496
ADBE,0.35402377847124694,0.5388001954303735,1.5219322209288655,1.1354694634526639,0.0004464713443511145,0.5828204613408065,0.27655854127189233
AMD,0.534040267753313,0.735501004653139,1.3772388508217994,1.2891966149032565,0.0010228802985643114,0.671705768758673,0.3832156104368818
AAP,0.1650623412888631,0.5469679032090645,3.313704985268914,0.9720411617856541,-0.00015687816829581386,0.22864658155464235,0.12865951176298102
AES,0.2722190892737832,0.6552384910140021,2.4070262403787517,1.2111433769243882,6.45126760759646e-05,0.3544039192728389,0.19173542430912424
AFL,0.025436197330761537,0.6082180101984426,23.911514849858772,1.2257968200464526,-0.0009115678498053101,-0.02394503685362219,-0.011881090268031986
A,0.370684026688233,0.42597331917838455,1.1491547747123538,0.940079703257368,0.0006726905034441509,0.776302204387014,0.3517616916336091
APD,0.15029580632289907,0.4935224026178194,3.283673807621246,1.0267450014950097,-0.00025967479825069796,0.22348692934272213,0.10742278380932067
AKAM,0.20177652894764267,0.46405307836976695,2.2998367589630817,0.6449626222530406,0.00025628186314134585,0.34861643309418117,0.2508308595969648
ALK,0.01939573675620977,0.8613558643312423,44.40954603363903,1.4867895460609744,-0.0011504069442403488,-0.02392073252997169,-0.013858224453069458
ALB,0.46359558311847604,0.7631968004529599,1.6462555473871243,1.2641765295035783,0.000768340086295289,0.5550279860542794,0.3350762913505562
ARE,0.17165679517676039,0.45993768211752767,2.679402709598041,0.9655544824752159,-0.00012576894768022624,0.2862492035238769,0.1363535642641893
ALXN,0.1915095324705252,0.5602671568490553,2.9255314324120376,0.750956635744817,0.00012876199015484193,0.27042372664251,0.20175536809825828
ALGN,0.4217418777665196,0.8479364922043456,2.0105579666285154,1.4517378287736409,0.0004501652023045689,0.4502010248127439,0.26295510814717626
ALLE,0.14108814907871947,0.5112367527827756,3.623527249602895,1.066803897745831,-0.00032867921764115327,0.19773255449353777,0.09475794875920486
LNT,0.10732275910058021,0.4198448827471485,3.911983686085449,0.7667341266351886,-0.00021310446199420264,0.160351505680076,0.0878045684441177
ALL,0.16128949166652848,0.473375458435471,2.9349429621502616,1.0017173107096966,-0.00019609010554692168,0.2562226019646142,0.12108155701192515
GOOGL,0.41594927450984054,0.4564462355346116,1.0973603357584725,1.0272605108305999,0.0007776089156877121,0.8236441561830624,0.365972672507253
GOOG,0.43446287629520225,0.45505876683904933,1.047405409455175,1.015786007565191,0.0008593908205483075,0.8668394173245775,0.3883326540800834
MO,0.07738353147645584,0.42641200740110485,5.510371512714459,0.7461121889127043,-0.0003130474331333792,0.087669978395545,0.0501044374183649
AMZN,0.2963777192012637,0.43909782398503244,1.4815480231388467,0.7479229794740659,0.0005409052339575837,0.5838738094270376,0.34278625772609195
AMCR,0.048926440300256974,0.5340693848183945,10.915762142940725,1.0072065747008532,-0.0006395353307792511,0.01671400861761123,0.008862571516581078
AEE,0.07206864557635428,0.4619062126542307,6.409253413328779,0.8548872050047877,-0.0004235166473289004,0.06942674659446488,0.03751213655861733
AAL,-0.17132086516639577,1.093431183032237,-6.382358517570172,1.363081160412559,-0.0017933700167425876,-0.19326398263160338,-0.15503175548434403
AEP,0.011114455489516357,0.41572539350611476,37.404027025727466,0.6830858811085272,-0.0005199325283312738,-0.06948227113785575,-0.04228684168322661
AXP,0.17611383202506004,0.6703020177497916,3.80607252730956,1.4355525050258342,-0.000495971138498422,0.2030634377052826,0.09481633834257461
AIG,0.001327951445712578,0.7658440730590372,576.7108997332999,1.5505760178243375,-0.0012735896289866036,-0.050495982034330214,-0.02494044026848126
AMT,0.15038851777683873,0.4895786673210397,3.2554258433979957,0.929477146214402,-0.00017909478390615036,0.22547656821095063,0.11876410111473086
AWK,0.1668889700179186,0.46891001210818734,2.8097124217247025,0.8234753244413465,-2.721903476700599e-05,0.27060409618347553,0.15408958380629229
AMP,0.2950072838165095,0.7433160515892022,2.5196532166017116,1.7843380201908952,-0.0003191908076892449,0.3430671021718238,0.14291422417218227
ABC,0.18445106862367708,0.49661119422059796,2.6923736355998016,0.8805554525614296,-5.69169078030909e-06,0.2908735652855843,0.16404539680435382
AME,0.2202501303243669,0.5082896106819886,2.3077834729696645,1.2019774409636996,-0.00013093182254750963,0.3546209218845128,0.14996132554688316
AMGN,0.1710178394997645,0.4352308627374206,2.5449442234242463,0.7797391604577001,2.497905269916649e-05,0.30103067295300917,0.16802777921639614
APH,0.18948844967115785,0.4700981957335173,2.480880478727518,1.0970488278956,-0.00016455886694096268,0.3179940936337858,0.13626417153912115
ADI,0.22970250733998424,0.580686116842974,2.527992069252847,1.282610038619022,-0.000160507056811348,0.32668683103936264,0.1479034949268257
ANSS,0.2780614422424808,0.5582837669470039,2.007771240933714,1.1915419788189758,0.00010349985398395642,0.426416557917005,0.19979274459003188
ANTM,0.17133138607873938,0.6020872322492179,3.5141677542520697,1.167505387720722,-0.00029359118928787406,0.21812684116905215,0.11248889080943157
AON,0.13593261145874977,0.44888278767313977,3.302245008434625,0.8237544955055952,-0.00014837254580771415,0.21371416791459694,0.11645776986002276
AOS,0.2259099223796995,0.4669814655351945,2.067113567284187,0.7480145710662806,0.0002655648660391275,0.39810985253265524,0.24853783545244104
APA,-0.11600207531556837,1.4671751511936042,-12.647835370206503,2.070153316399063,-0.0021604111062575914,-0.1063281880071746,-0.07535773997016165
AIV,0.22773801118775613,0.6828134237188153,2.9982409179637437,1.2002194312097907,-0.00010023243812291101,0.2749477451179507,0.15641973984583885
