,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
SPY,0.18373677888365791,0.3613506021272632,1.9666753946746305,1.0,0.0,0.39777650303467765,0.1437367788836579
PIH,,,,,,,
FLWS,0.21439288010608884,0.8119268565144822,3.7870980422144305,0.936913058843917,0.00016502926789090902,0.21478890457539412,0.18613560613753966
CRDB,1.2661077735985429,0.31447803757503345,0.24838172873800557,,,3.8988661435728957,
FCCY,0.04377237678185262,0.7543691783987598,17.23390946208592,1.081102788385106,-0.0006049451843678429,0.0050007037533796725,0.0034893784590895325
SRCE,0.0479044112237919,0.6292199915342012,13.134907108965713,1.1740268641815927,-0.0006554980590774046,0.012562237897939164,0.006732734543772149
XXII,0.12946909545361127,1.3730584037018112,10.605298499160192,1.1331006589813284,-0.0003075123819475322,0.06516044416785156,0.07895952998036829
TWOU,-0.32612631366388656,1.46624575582094,-4.495944345454097,1.3021182228406447,-0.002208489537712264,-0.24970323849898896,-0.2811774747036112
DDD,0.39688707083610586,1.2908665207326455,3.2524781369502147,1.4286258608504263,0.0005249842067717003,0.2764709325899557,0.24981143112141319
MMM,-0.02225497591710774,0.45669117875144744,-20.520857018783918,0.8391795695088909,-0.0006892309645454922,-0.1363174477932927,-0.07418552378907523
HNR,,,,,,,
EGHT,0.28983616868086187,0.9288177428366657,3.2046302125232184,1.2832827281588173,0.00021113255395284252,0.2689829846680653,0.19468521098177088
AOS,0.11450348489873922,0.47250364904583747,4.1265438293314345,0.7569767321008348,-9.601945916931946e-05,0.15767811539485416,0.09842242401819931
AHC,-0.2392175452518563,0.7791876004278065,-3.2572343287255605,0.36514918687677084,-0.001196519065080395,-0.3583444411827834,-0.7646670327820984
ATEN,0.14281521241645584,0.7249237068247698,5.075955807220721,0.9211112040988967,-0.00010322966100907369,0.14182901103730708,0.1116208466023793
AAC,,,,,,,
AAON,0.28095933889047864,0.5915373959557747,2.1054199454333253,0.8792253252686164,0.00046645824106518257,0.407344219550396,0.2740586877622775
AIR,0.10362269832450285,1.0781795000798933,10.404858370928414,1.728840059057659,-0.0008360500208272831,0.05900937489517134,0.03680080062419525
AAN,-0.3849896041288033,0.3674023934481741,-0.9543176997715888,,,-1.1567415229393503,
ABT,0.22498508504586484,0.4387241875107031,1.9500145417251369,0.8588204722476986,0.00026245381967082335,0.4216432335209509,0.21539435891848646
ABBV,0.21356210519575547,0.4425093067376064,2.072040385310836,0.7586495781981231,0.0002897276382663542,0.39222249691275335,0.22877769945906345
ABEO,-0.6374059309472675,1.6736494581462182,-2.6257199327576997,1.2395727094255764,-0.003379535264723482,-0.404747796887875,-0.5464834178716153
ANF,0.10404393420586218,0.9558877159130171,9.187346895415256,1.3252491788256522,-0.0005447385981631866,0.06699943219239987,0.048325956528879846
ABMD,-0.027295844443778167,0.7024826958067502,-25.73588434875751,0.7038742203476126,-0.0006118102594909942,-0.09579715606587832,-0.09560776982362518
ABM,0.1405445129690072,0.651590554763839,4.636186365436603,1.19714375394457,-0.000310214157193197,0.1543062775141796,0.08398700042306079
AXAS,-0.8793065891614567,1.8094012574539309,-2.0577592386512777,1.5532535514998358,-0.004549595287123589,-0.5080722616801117,-0.5918586751491833
ACIA,0.39185940355113275,0.4936036468607616,1.2596447664330517,,,0.7128379334085171,
ACTG,0.39091684974838176,0.6755882280068036,1.728214653427331,0.5545876151364316,0.0011289793270876703,0.5194241628272537,0.6327527701137976
ACHC,0.33822273870153435,0.8743316588021655,2.585076515431217,1.4330435924644418,0.000292655957118172,0.3410865152819693,0.20810444306769
ACAD,0.32856811958523185,0.8888867562046303,2.705334763843543,0.8570958467006641,0.0006683128496792602,0.32463991343212306,0.3366812716408048
