,ticker,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
6,AAPL,0.5126081283,0.5455424605,1.0642485564,1.2123829509000001,0.0011768567,0.7838219006999999,0.3527005456
0,AMD,0.7430323381999999,0.83478694,1.123486687,1.4108590506,0.0019418076999999998,0.7882638152,0.4664054414
10,CDNS,0.48460275280000004,0.5372067491,1.1085507581999998,1.1602424753,0.0011029635000000002,0.7438528154999999,0.3444131389
18,CHTR,0.37190407630000005,0.4184338017,1.1251121681999998,0.7609376353,0.0009346233,0.6856618064,0.37704019759999996
7,CMG,0.5118932070000001,0.5705587559,1.1146050544,0.8670630547,0.0014091944,0.7482020082999999,0.49234390130000005
19,DG,0.36474510409999994,0.39102359560000005,1.0720461801,0.5574455003000001,0.0010452176,0.7154174512,0.5018339981000001
17,DHR,0.3825805629,0.40023082200000004,1.0461347512,0.8070236275,0.0009449481,0.7435223540000001,0.3687383526
15,IDXX,0.4163631346,0.4996283671,1.1999822404,0.9078215362000001,0.0010082774,0.6632192174,0.36500911399999997
13,MKTX,0.4489511665,0.5563104356,1.239133512,0.7615699541,0.001235158,0.6542231516,0.4778959103
9,MSCI,0.5052949572,0.5885281815,1.1647220562,1.1846809252,0.0011671521000000001,0.7141458479,0.354774816
3,NOW,0.5753793899,0.6259011151,1.0878059348,1.1398898802,0.0014714179000000001,0.7834774185,0.43019891520000003
1,NVDA,0.6335045427,0.7276928579,1.1486782002,1.4899570031,0.0014601065,0.7537583154,0.36813447740000005
14,ODFL,0.4240164054,0.49302990729999996,1.1627613957,0.9144098884999999,0.0010336869000000001,0.6876183379,0.3707488399
2,PAYC,0.608726106,0.7521373246999999,1.235592358,1.4649511871,0.0013803423999999998,0.6963171336,0.3575041343
5,QCOM,0.517036191,0.6482151897,1.2537133781,1.1737457132,0.0012204622,0.6665011835,0.36808329619999997
12,SNPS,0.4567615963,0.4993316437,1.0931997081,1.0780096697,0.0010502018,0.7445183997,0.34485924079999997
4,TER,0.5586048325999999,0.6497916394,1.1632402755,1.2895010796,0.0013040212,0.7288564578,0.3672775774
8,TGT,0.5107852994,0.5023659661,0.9835168840999999,0.7046277409999999,0.0015154698999999998,0.8475600023000001,0.6042698501
16,TYL,0.3990778924,0.4108853924,1.029586956,0.7017919851000001,0.0010810436999999999,0.7643929382,0.4475370181
11,WST,0.4766616134,0.45147960659999997,0.9471700551000001,0.7403440278,0.0013578548000000002,0.8675067658,0.5290265048
